Nr. crt.,Adresa,Nr,Sector,Anul construirii,Regimul de inaltime,Numar de apartamente,Aria desfasurata,Anul Elaborarii Expertizei Tehnice,Expertul tehnic atestat pentru cerinţa esenţiala de calitate-rezistenţă mecanică şi stabilitate de către M.D.R.A.P.,Observatii,Clasa de risc seismic
1988,Soseaua OLTENITEI,49 (bloc 7),Sector 4,1964,S+P+9E,40,3.544,1996,Niculaie TUDOSE,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1989,Soseaua OLTENITEI,55 (bloc 2),Sector 4,1962,S+P+9E,144,8.613,1996,Marin TEODOR,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1990,Soseaua OLTENITEI,57 (bloc 8),Sector 4,1963,S+P+9E,40,3.544,1996,Niculaie TUDOSE,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1991,Soseaua OLTENITEI,65 (bloc 9),Sector 4,1963,S+P+9E,40,3.544,1996,Niculaie TUDOSE,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1992,Soseaua OLTENITEI,69 (bloc 4),Sector 4,1962,S+P+9E,144,8.613,1996,Marin TEODOR,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1993,Soseaua OLTENITEI,81 (bloc 6),Sector 4,1962,S+P+9E,144,8.613,1996,Marin TEODOR,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1994,Strada ORZARI,15÷17 (corp A+B+C+D+E+H),Sector 2,1890,S+P; S+P+1E; S+P,0,0,1993,Constantin DALBAN,U1. U2. U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1995,Strada ORZARI,58B,Sector 2,1934,S+P+2E,0,0,1993,Niculaie TUDOSE,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1996,Strada OSTASILOR,6,Sector 1,1924,S+P+1E+Ma,0,0,1993,Mircea PERJESCU,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1997,Strada OSTASILOR,19,Sector 1,1926,S+P+2E,0,0,1993,Mircea PERJESCU,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1998,Strada OSTASILOR,31,Sector 1,1940,S+P+1E,0,0,1993,Radu AGENT,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
1999,Strada OSTAȘILOR,12 (corp A+B),Sector 1,1883,S+P+2E,0,0,1993,Mihai PERJESCU,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2000,Strada OȚETARI,6,Sector 2,1933,S+P+2E+Ma,0,0,1994,Petru IOAN,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2001,Bulevardul PACHE PROTOPOPESCU,21,Sector 2,1925,S+P+Mz+3E+Ma,0,0,1993,Dan POPESCU,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2002,Bulevardul PACHE PROTOPOPESCU,24,Sector 2,1900,S+P+2E+Ma,0,0,1993,Niculaie TUDOSE,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2003,Bulevardul PACHE PROTOPOPESCU,27,Sector 2,1924,S+P+2E+Ma,0,0,1993,Dan POPESCU,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2004,Bulevardul PACHE PROTOPOPESCU,29,Sector 2,1932,S+P+2E+Ma,0,0,1993,Dan POPESCU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2005,Bulevardul PACHE PROTOPOPESCU,30 (corp A+B),Sector 2,1914,S+P+1E+Ma,0,0,1993,Radu PETROVICI,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2006,Bulevardul PACHE PROTOPOPESCU,31,Sector 2,1920,S+P+2E,0,0,1993,Niculaie TUDOSE,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2007,Bulevardul PACHE PROTOPOPESCU,36,Sector 2,1910,S+P+2E,0,0,1993,Dan POPESCU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2008,Bulevardul PACHE PROTOPOPESCU,42,Sector 2,1934; 1899,S+P+1E; S+P,0,0,1993,Niculaie TUDOSE,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2009,Bulevardul PACHE PROTOPOPESCU,43,Sector 2,1926,S+P+1E+Ma,0,0,1994,Nicolae ALEMAN,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2010,Bulevardul PACHE PROTOPOPESCU,46,Sector 2,1957,S+P+4E+Ma,0,0,1993,Radu PETROVICI,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2011,Bulevardul PACHE PROTOPOPESCU,47,Sector 2,1865,S+P,0,0,1994,Nicolae ALEMAN,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2012,Bulevardul PACHE PROTOPOPESCU,48,Sector 2,1926,S+P+2E+Ma,0,0,1993;1996,Corneliu MUDRACENCU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2013,Bulevardul PACHE PROTOPOPESCU,71 (corp A+B),Sector 2,1933,S+P,0,0,1994,Nicolae ALEMAN,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2014,Bulevardul PACHE PROTOPOPESCU,92,Sector 2,1950,S+P+3E,13,1.58,1994,Voicu DORDEA,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2015,Bulevardul PACHE PROTOPOPESCU,103,Sector 2,1940,S+P+4E,7,1.096,1994,Voicu DORDEA,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2016,Piata PACHE PROTOPOPESCU (fostă Bulevardul REPUBLICII),13 (90),Sector 2,1925,S+P+3E+Ma,0,0,1993,Niculaie TUDOSE,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2017,Strada PALEOLOGU,2,Sector 2,1936,S+P+3E,0,0,1993,Niculaie TUDOSE,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2018,Strada PALEOLOGU,5 (corp A),Sector 2,1939,S+P+3E,0,893,1994,Dan POPESCU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2019,Strada PALEOLOGU,7,Sector 2,1930,S+P+4E,0,0,1993,Niculaie TUDOSE,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2020,Strada PALEOLOGU,22,Sector 3,1920,S+P+1E+Ma,0,0,1993,Adina SIMION,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2021,Strada PAMFIL NASTASE,22 (corp B),Sector 2,1940,S+Ds+P+2E,0,0,1995,Eugeniu IORDACHESCU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2022,Strada PANAIT ISTRATI,104 (corp A+B+C),Sector 1,1912,S+P,2,154,1993,Constantin ARIENESCU,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2023,Soseaua PANDURI,10,Sector 5,1933; 1938,S+P+2E+Ma,0,0,1993,Niculaie TUDOSE,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2024,Soseaua PANDURI,24,Sector 5,1926,S+P,0,0,1993,Cristian BALAN,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2025,Soseaua PANTELIMON,33,Sector 2,1914,S+P+1E,0,0,1993,Niculaie TUDOSE,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2026,Soseaua PANTELIMON,144 (bloc 102A),Sector 2,1977,S+P+10 … 11E,0,0,1993,Mircea CONDRUT,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2027,Soseaua PANTELIMON,237 (bloc 65),Sector 2,1976,S+P+10E,0,0,1993,Mircea CONDRUT,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2028,Soseaua PANTELIMON,254 (tronson I+II+III),Sector 2,1974,S+P+11 … 12E,169,0,1995,Cristian BALAN,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2029,Soseaua PANTELIMON,285 (bloc 11A),Sector 2,1976,S+P+9 … 11E,0,0,1993,Mircea CONDRUT,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2030,Soseaua PANTELIMON,286 (bloc 41),Sector 2,1972,S+P+10E,0,0,1993,Dan POPESCU,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2031,Soseaua PANTELIMON,330 (bloc 31),Sector 2,1974,S+P+10E,0,0,1993,Dan POPESCU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2032,Soseaua PANTELIMON,332 (bloc 32),Sector 2,1974,S+P+10E,0,0,1993,Dan POPESCU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2033,Soseaua PANTELIMON,334 (bloc 30),Sector 2,1974,S+P+10E,0,0,1993,Dan POPESCU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2034,Soseaua PANTELIMON,354 (bloc 2),Sector 2,1974,S+P+10E,320,27.864,1993;1995,Nicolae TEMELCU. Mircea CONDRUT,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2035,Strada PARFUMULUI,39,Sector 3,1910,S+P,0,0,1993,Dan POPESCU,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2036,Strada PĂRINTELE STĂNILOAIE (fostă Strada CERNICA),6,Sector 2,1937,S+P+5E,0,1.298,1994,Mircea CONDRUT,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2037,Strada PARIS,9,Sector 1,1934,S+P+3E+Ma,0,0,1994,Mircea NEICU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2038,Strada PATRASCU VODA,1,Sector 3,1928,S+P+3E+Ma,0,0,1994,Niculaie TUDOSE,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2039,Strada PATRASCU VODA (colț cu Strada SFÂNTUL GHEORGHE NOU),10 (15),Sector 3,1900,S+P+1E+Ma,0,441,1993,Niculaie TUDOSE,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2040,Strada PATRIEI,3,Sector 3,1934,S+P+Mz+3E+Pod,0,0,1994,Mihai URSACHESCU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2041,Strada PAUL GRECEANU,7 (corp A+B),Sector 2,1918,S+P+2ES+P+1E,0,0,1993,Dan POPESCU,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2042,Strada PAUL GRECEANU,26,Sector 2,1940,S+P+2E+Ma,0,0,1993,Niculaie TUDOSE,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2043,Strada PAUL IONESCU,15,Sector 1,1939,S+P+2E,0,0,1996,Ovidiu GEORGESCU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2044,Soseaua PAVEL DIMITRIEVICI KISELEFF,35÷37,Sector 1,1930,S+P+Ma,0,0,1993,Gabriel NICULESCU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2045,Strada PETRE CRETU,77,Sector 1,1935,S+P+2E+Ma,0,775,1995,Mihai IONESCU,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2046,Strada PETRU CERCEL,9,Sector 4,1933,S+P+2E,0,0,1993,Dan STANCIULESCU,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2047,Strada PETRU PONI,1÷3,Sector 1,1958,S+P+3E,30,2.84,1995,Armand NEFIAN,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2048,Strada PETRU PONI,8,Sector 1,1929,S+P+2E+Ma,3,889,1995,Anatolie CAZACLIU,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2049,Strada PETRU PONI,18,Sector 1,1928,S+P+3E+Ma,7,1.09,1995,Anatolie CAZACLIU,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2050,Strada PETRU RARES,1,Sector 1,1930,S+P+1E+Ma,0,0,1993,Mircea PERJESCU,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2051,Strada PETRU RARES,21,Sector 1,1913,S+P+2E+Pod,0,0,1993,Mircea PERJESCU,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2052,Strada PETRU RARES,32,Sector 1,1930,S+P+3E,0,0,1993,Mircea PERJESCU,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2053,Strada PLANTELOR,23,Sector 2,1936,S+P+2E+Ma,0,0,1993,Traian POPP,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2054,Strada PLANTELOR,60,Sector 2,1930,S+P+2E+Ma,0,0,1993,Dan POPESCU,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2055,Strada PLANTELOR,70,Sector 2,1935,S+P+2E+Ma,0,0,1993,Dan POPESCU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2056,Strada PLANTELOR,74,Sector 2,1926,S+P+1E+Ma,0,0,1993,Niculaie TUDOSE,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2057,Strada PLANTELOR,78,Sector 2,1933,S+P+2E+Ma,0,0,1993,Dan POPESCU,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2058,Strada PLANTELOR,80,Sector 2,1935,S+P+1E+Ma,0,0,1993,Adina SIMION,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2059,Calea PLEVNEI,11bis (corp B+C),Sector 1,1900,S+P+2E+Ma,0,0,1993,Armand NEFIAN,U1. U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2060,Calea PLEVNEI,15,Sector 1,1958,S+P+6E,0,0,1995,Virgil FIERBINTEANU,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2061,Calea PLEVNEI,22 (corp A+B+C+D),Sector 1,1870,S+P+1E,0,0,1993,Mircea MIRONESCU. Nicolae ROSCA,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2062,Calea PLEVNEI,26A,Sector 1,1910,S+P+2E,0,0,1993,Mihai URSACHESCU,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2063,Calea PLEVNEI,40,Sector 1,1900,S+P+1E,0,0,1993,Mihai URSACHESCU,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2064,Calea PLEVNEI,"46÷48 (corp A+B, C+D, G)",Sector 1,1910,S+P+2E,0,0,1993,Aurel COMANESCU,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2065,Calea PLEVNEI,54 (corp A+B),Sector 1,1920,S+P+1E+Ma,0,0,1993,Aurel COMANESCU,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2066,Calea PLEVNEI,56 (corp A+B),Sector 1,1900,S+P+1E+Ma,0,0,1993,Constantin ARIENESCU,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2067,Calea PLEVNEI,57,Sector 1,1935,S+P+1E+Ma,0,0,1993,Constantin ARIENESCU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2068,Strada POENARU BORDEA,4,Sector 4,1935,S+P+6E,0,0,1993,Cristian BALAN,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2069,Strada POENARU BORDEA,6,Sector 4,1933,S+P+7E,0,0,1993,Traian POPP,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2070,Strada POENARU BORDEA,8÷10,Sector 4,1961,S+P+8E,0,2.033,1996,Nicolae ALEMAN,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2071,Strada POIANA FLORILOR,27,Sector 4,1939,S+P+4E+Ma,0,0,1995,Mihai URSACHESCU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2072,Strada POIANA NARCISELOR,8,Sector 2,1960,S+P+9E,56,0,1996,Constantin TARHON,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2073,Strada POIANA NARCISELOR,10,Sector 2,1938,S+P+3E+Ma,0,0,1993,Leonid NEAGOE,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2074,Strada POLONA,23 (corp A),Sector 1,1932,S+P+4E,11,999,1993,Radu DIAMANDOPOL,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2075,Strada POLONA,23C,Sector 1,1940,S+P+3E,0,0,1994,Radu AGENT,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2076,Strada POLONA,90,Sector 1,1932,S+P+2E+Ma,0,0,1993,Armand NEFIAN,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2077,Strada POPA MARIN,3,Sector 1,1936,S+Ds+P+3E,4,0,1993,Eugeniu IORDACHESCU,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2078,Strada POPA NAN,2,Sector 2,1939,S+P+3E,0,0,1993,Ion VARSA,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2079,Strada POPA NAN,11,Sector 2,1935,S+P+3E,0,0,1993,Traian POPP,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2080,Strada POPA NAN,49,Sector 2,1938,S+P+2E,0,0,1993,Niculaie TUDOSE,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2081,Strada POPA NAN,60,Sector 2,1896,S+P,0,0,1993,Niculaie TUDOSE,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2082,Strada POPA NAN,68,Sector 2,1929,S+P+2E,0,0,1993,Niculaie TUDOSE,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2083,Strada POPA NAN,88,Sector 2,1933,S+P+1E+Ma,0,0,1993,Dan POPESCU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2084,Strada POPA NAN,115B (corp A+B),Sector 3,1925,S+P+1E+Ma S+P,0,218,1993,Adina SIMION,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2085,Strada POPA PETRE,15,Sector 2,1932,S+P+2E+Ma,0,0,1993,Anatolie CAZACLIU,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2086,Strada POPA PETRE,28,Sector 2,1924,S+P+4E,0,0,1993,Elena DRAGOMIRESCU,U1. U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2087,Strada POPA PETRE,42,Sector 2,1928,S+P+4E,0,0,1996,Grigore ARSENIE,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2088,Strada POPA RUSU,9 (corp A+B+C),Sector 2,1930,S+P+3E+Ma,0,0,1993,Emil COROIU,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2089,Strada POPA RUSU,12,Sector 2,1890,S+P+1E,0,0,1993,Ion LUNGU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2090,Strada POPA RUSU,17,Sector 2,1925,S+P+1E,0,0,1993,Constantin DALBAN,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2091,Strada POPA RUSU,23,Sector 2,1930,S+P+1E+Ma,11,672,1993,Anatolie CAZACLIU,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2092,Strada POPA SOARE,9,Sector 3,1890,S+P+1E+Ma,10,1.425,1993,Radu AGENT,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2093,Strada POPA SOARE,20,Sector 2,1880,S+P+2E,0,0,1993,Niculaie TUDOSE,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2094,Strada POPA STEFAN,9÷11,Sector 5,1934,S+P+2E,0,0,1993,Radu PETROVICI,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2095,Strada POPA TATU,1÷3,Sector 1,1880,S+P+1E+Ma,0,0,1993,Gheorghe AFANASENCO,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2096,Strada POPA TATU,29A,Sector 1,1925,S+P+1E,0,0,1993,Dan ANASTASIU,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2097,Strada POPA TATU,37A,Sector 1,1890,S+P+3E,0,0,1994,Horia DUGAN,U1,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2098,Strada POPA TATU,42,Sector 1,1940,S+P+1E,0,0,1993,Nicolae TEMELCU,U3,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
2099,Strada POPA TATU,48,Sector 1,1940,S+P+2E+Ma,0,0,1993,Nicolae TEMELCU,U2,"6. INCADRATE IN CATEGORII DE URGENTA, NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE"
