Nr. crt.,Adresa,Nr,Sector,Anul construirii,Regimul de inaltime,Numar de apartamente,Aria desfasurata,Anul Elaborarii Expertizei Tehnice,Expertul tehnic atestat pentru cerinţa esenţiala de calitate-rezistenţă mecanică şi stabilitate de către M.D.R.A.P.,Observatii,Clasa de risc seismic
21,Strada BĂNIEI (fosta Strada SFÂNTUL GHEORGHE NOU),1,Sector 3,1935,S+P+5E+Ma,10,1.908,2014,Niculae TEODOR,Încadrare în clasă de risc seismic în anul 2014,1. CLASA I DE RISC SEISMIC
22,Strada BĂRĂTIEI,29,Sector 3,1910,S+P+2E+Ma,3,154,1993,Laurenţiu SPOIALA,,1. CLASA I DE RISC SEISMIC
23,Strada BĂRĂTIEI,37,Sector 3,1900,S+P+1E+Ma,5,2.322,1993,Mircea CONDRUT,,1. CLASA I DE RISC SEISMIC
24,Strada BĂRĂTIEI,41,Sector 3,1885,S+P+1E,3,666,1993,Ion LUNGU,,1. CLASA I DE RISC SEISMIC
25,Strada BĂRĂTIEI,42B,Sector 3,1920,S+P+2E+Pod,1,266,1993,Laurenţiu SPOIALA,,1. CLASA I DE RISC SEISMIC
26,Strada BĂRĂŢIEI,44,Sector 3,1935,S+P+Mz+2E+Ma,7,596,1993,Laurenţiu SPOIALA,,1. CLASA I DE RISC SEISMIC
27,Strada BĂRĂTIEI,50,Sector 3,1824,S+P+1E,-,360,2019,Ionel BELGUN,Încadrat in clasa I de risc seismic în anul 2019,1. CLASA I DE RISC SEISMIC
28,Strada BATIŞTE,5,Sector 2,1933,2S+P+10E,26,3.065,1993,Emilian TITARU,,1. CLASA I DE RISC SEISMIC
29,Strada BATIŞTE (Sediul “ARCUB”; Restaurantul “BUREBISTA”),14,Sector 2,1932÷1934,2S+Ds+P+3E+Pod,0,3.526,2015,Tudor ANDRIŢOIU,,1. CLASA I DE RISC SEISMIC
30,Strada BIBESCU VODĂ,24 (corp A),Sector 4,1929,S+P+2E+Ma,4,1.47,1994,Traian VINTILA. Liviu POPP,,1. CLASA I DE RISC SEISMIC
31,Strada BISERICA AMZEI,8,Sector 1,1935,P+4E+Ma,20,2.081,1997,Iorgu NICULA,,1. CLASA I DE RISC SEISMIC
32,Strada BISERICA ENEI,14,Sector 1,1936,S+P+5E,26,2.849,1993,Eugeniu IORDACHESCU,,1. CLASA I DE RISC SEISMIC
33,Strada BLĂNARI,2,Sector 3,1865,S+P+2E+Ma,0,758,2012,Mihai URSĂCHESCU,,1. CLASA I DE RISC SEISMIC
34,Strada BLĂNARI,8,Sector 3,1884,S+P+2E+Ma,0,338,1993,Armand NEFIAN,,1. CLASA I DE RISC SEISMIC
35,Strada BLĂNARI,10,Sector 3,1875,S+P+2E,1,764,2012,Mihai URSĂCHESCU,,1. CLASA I DE RISC SEISMIC
36,Strada BLĂNARI,11,Sector 3,1947,S+P+8E,14,2.38,1994,Dan STANCIULESCU,,1. CLASA I DE RISC SEISMIC
37,Strada BLĂNARI,13,Sector 3,1900,S+P+2E+Pod,2,528,2015,Anatolie CAZACLIU,,1. CLASA I DE RISC SEISMIC
38,"Strada BLĂNARI („CLUB A”, „GODOT CAFÉ –TEATRU”)",14 (3 corpuri principale + 1 corp secundar),Sector 3,1934÷1937,S=P++4E+1E retars S+P=1E,40,2.645,2018,Ioan Mihai PAUL,"Reîncadrare în clasă de risc seismic în anul 2018 (Înițial imobilul a fost încadrat iniţial în RsI de expertul tehnic atestat M.D.R.A.P. Mircea CONDRUŢ, ulterior a fost reîncadrat în anul 2016 – pentru o perioadă de 2 ani – de expertul tehnic dl. Ing. I",1. CLASA I DE RISC SEISMIC
39,Strada BLĂNARI (colț cu Strada BĂCANI),3 (3),Sector 3,1883,S+P+Mz+2E+Ma,28,3.005,1993,Stelian PICULESCU,,1. CLASA I DE RISC SEISMIC
40,Strada BOCŞA,3,Sector 2,1932,P+5E,25,2.875,1995,Marin TEODOR,,1. CLASA I DE RISC SEISMIC
41,Strada BOTEANU,3A÷3B,Sector 1,1935 1936,S+P+8E+Ma S+P+7E,90,10.593,1995,Alexandrina PRETORIAN Dan GHIOCEL. Iorgu NICULA,,1. CLASA I DE RISC SEISMIC
42,Strada BRAZILIA,56,Sector 1,1930,S+P+1E+Ma,5,810,1993,Armand NEFIAN,,1. CLASA I DE RISC SEISMIC
43,Strada BUZEŞTI,32A,Sector 1,1930,S+P+3E,1,434,1994,Horia DUGAN,,1. CLASA I DE RISC SEISMIC
44,Strada BUZEŞTI,48,Sector 1,,S+P+2E,3,896,2007,Vladimir AMBROZIE,Încadrare în clasă de risc seismic în anul 2007,1. CLASA I DE RISC SEISMIC
45,Strada C. A. ROSETTI,27,Sector 2,1900,S+P+2E,4,735,1993,Ion LUNGU,,1. CLASA I DE RISC SEISMIC
46,Strada C. A. ROSETTI,42,Sector 2,1927,S+P+3E,8,780,1993,Adina SIMION,,1. CLASA I DE RISC SEISMIC
47,Strada C. A. ROSETTI,43,Sector 2,1933,S+P+5E+Ma,8,780,2007,Dragoş BADEA,,1. CLASA I DE RISC SEISMIC
48,Strada C. A. ROSETTI,43A,Sector 2,1933,S+P+4E,11,790,1994,Adina SIMION,,1. CLASA I DE RISC SEISMIC
